id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	score<Avg. pub. year>	description	url
22	Bishr (2026)	-2.4676	0.0762	10	0	0	0	2026	<b>Effectiveness of an educational program on improving the knowledge and practice of environmental sustainability in dentistry among undergraduate students at Faculty of Dentistry in Egypt: an interventional study</b><br><i>BMC Medical Education</i><br>Year: 2026<br>Citations: 0	https://doi.org/10.1186/s12909-025-08137-z
23	Price (2024)	0.38	2.495	5	140	190	11	2024	<b>Enabling change agents for sustainable development: a whole-institution approach to embedding the UN Sustainable Development Goals in higher education</b><br><i>International Journal of Sustainability in Higher Education</i><br>Year: 2024<br>Citations: 11	https://doi.org/10.1108/ijshe-02-2024-0112
24	Sammalisto (2016)	-2.3422	-0.8953	11	152	244	72	2016	<b>Learning about Sustainability-What Influences Students' Self-Perceived Sustainability Actions after Undergraduate Education?</b><br><i>Sustainability (Switzerland)</i><br>Year: 2016<br>Citations: 72	https://doi.org/10.3390/su8060510
25	Czok (2023)	-0.2202	2.4001	6	9	10	36	2023	<b>Learning Effects of Augmented Reality and Game-Based Learning for Science Teaching in Higher Education in the Context of Education for Sustainable Development</b><br><i>Sustainability (Switzerland)</i><br>Year: 2023<br>Citations: 36	https://doi.org/10.3390/su152115313
26	Mazutti (2020)	0.4046	2.5057	5	197	335	51	2020	<b>Smart and learning campus as living lab to foster education for sustainable development: an experience with air quality monitoring</b><br><i>International Journal of Sustainability in Higher Education</i><br>Year: 2020<br>Citations: 51	https://doi.org/10.1108/ijshe-01-2020-0016
27	Price (2021)	0.396	2.468	5	231	484	59	2021	<b>Supporting the role of universities in leading individual and societal transformation through education for sustainable development</b><br><i>Discover Sustainability</i><br>Year: 2021<br>Citations: 59	https://doi.org/10.1007/s43621-021-00058-3
28	Perbandt (2021)	-2.3467	-1.0179	11	45	55	7	2021	<b>Towards effective e-learning on sustainability: a case study-course on participatory processes in environmental politics</b><br><i>International Journal of Sustainability in Higher Education</i><br>Year: 2021<br>Citations: 7	https://doi.org/10.1108/ijshe-07-2020-0262
29	Spangenberger (2025)	-1.3203	2.1713	7	144	201	0	2025	<b>A framework for serious game development as an instructional approach (SGDIA): proof-of-concept for students' self-efficacy, values, and critical reflection</b><br><i>International Journal of Educational Technology in Higher Education</i><br>Year: 2025<br>Citations: 0	https://doi.org/10.1186/s41239-025-00573-7
30	Lambini (2021)	-1.1414	2.2945	7	32	37	18	2021	<b>Achieving the Sustainable Development Goals through Company Staff Vocational Training--The Case of the Federal Institute for Vocational Education and Training (BIBB) INEBB Project</b><br><i>Education Sciences</i><br>Year: 2021<br>Citations: 18	https://doi.org/10.3390/educsci11040179
31	Sandoval-Hamón (2020)	-2.3815	-0.8918	11	191	350	28	2020	<b>Do Spanish Students Become More Sustainable after the Implementation of Sustainable Practices by Universities?</b><br><i>Sustainability (Switzerland)</i><br>Year: 2020<br>Citations: 28	https://doi.org/10.3390/su12187502
32	Biasutti (2018)	-2.418	-0.7614	11	73	97	101	2018	<b>Educating academic staff to reorient curricula in ESD</b><br><i>International Journal of Sustainability in Higher Education</i><br>Year: 2018<br>Citations: 101	https://doi.org/10.1108/ijshe-11-2016-0214
33	Saqib (2020)	-2.3821	-0.8188	11	185	296	67	2020	<b>Education for sustainable development in Pakistani higher education institutions: an exploratory study of students' and teachers' perceptions</b><br><i>International Journal of Sustainability in Higher Education</i><br>Year: 2020<br>Citations: 67	https://doi.org/10.1108/ijshe-01-2020-0036
34	Sánchez-Carracedo (2021)	0.3642	2.5021	5	164	230	43	2021	<b>Education for Sustainable Development in Spanish University Education Degrees</b><br><i>Sustainability (Switzerland)</i><br>Year: 2021<br>Citations: 43	https://doi.org/10.3390/su13031467
35	Taylor (2021)	-1.2134	2.1434	7	168	324	23	2021	<b>Learning and teaching interdisciplinary skills in sustainable urban development-the case of tampere university, Finland</b><br><i>Sustainability (Switzerland)</i><br>Year: 2021<br>Citations: 23	https://doi.org/10.3390/su13031180
36	Valderrama-Hernández (2020)	-0.4602	2.4084	6	118	173	39	2020	<b>Methodology to Analyze the Effectiveness of ESD in a Higher Degree in Education. A Case Study</b><br><i>Sustainability (Switzerland)</i><br>Year: 2020<br>Citations: 39	https://doi.org/10.3390/su12010222
37	Holst (2020)	-1.2199	2.2282	7	139	210	67	2020	<b>Monitoring Progress of Change: Implementation of Education for Sustainable Development (ESD) within Documents of the German Education System</b><br><i>Sustainability (Switzerland)</i><br>Year: 2020<br>Citations: 67	https://doi.org/10.3390/su12104306
38	Holst (2024)	0.3699	2.4457	5	161	282	39	2024	<b>Monitoring SDG 4.7: Assessing Education for Sustainable Development in policies, curricula, training of educators and student assessment (input-indicator)</b><br><i>Sustainable Development</i><br>Year: 2024<br>Citations: 39	https://doi.org/10.1002/sd.2865
