84	106	1
84	113	1
84	114	1
85	89	3
85	101	1
85	107	1
85	113	2
87	89	3
87	93	1
87	100	2
87	101	1
87	103	4
87	106	2
87	108	3
87	113	2
87	114	1
87	117	2
89	93	1
89	94	1
89	100	1
89	101	2
89	103	1
89	106	3
89	108	5
89	112	1
89	113	2
89	114	1
89	118	2
90	114	1
91	94	1
91	105	1
93	103	1
93	106	1
93	108	1
93	112	1
93	113	1
94	99	1
94	103	1
94	106	1
94	117	1
97	108	1
97	114	2
98	99	1
98	107	1
98	108	1
98	117	1
99	100	1
99	106	1
99	107	1
99	114	1
99	115	1
100	108	1
100	114	1
101	113	3
101	114	1
101	117	1
101	118	2
102	113	1
102	114	1
102	117	1
103	106	1
103	108	1
103	111	1
103	113	1
104	112	1
104	115	1
106	108	2
106	110	1
106	113	1
106	114	1
107	112	1
108	112	1
108	113	1
108	117	1
112	117	1
113	114	3
